Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Botafogo (RJ);0;990;0;0;9;4;1;0;564;18;5;9;18;0;373;454;822;25;318;15;15;5;0
Bragantino;0;989;0;0;18;6;5;1;524;20;6;12;35;2;301;401;751;30;296;23;20;14;1
Athletico Paranaense;0;990;0;0;13;5;0;0;579;10;9;9;22;0;350;462;758;38;303;13;22;9;0
Fortaleza;0;990;0;0;15;5;3;0;502;13;5;8;27;0;270;386;699;37;277;17;23;16;0
Fluminense;0;950;0;0;7;4;4;1;536;17;7;7;12;4;336;416;808;18;280;13;13;10;0
Santos;0;990;0;0;8;3;4;0;461;6;9;9;13;2;299;385;777;31;285;12;15;7;0
América (MG);0;986;1;1;11;8;5;1;423;20;13;11;17;3;164;291;564;29;167;14;14;8;1
Ceará;0;990;0;0;16;3;3;0;590;18;5;9;30;0;363;475;764;45;351;13;20;8;0
Botafogo (RJ);0;990;0;0;13;8;3;0;539;15;9;8;18;0;319;419;761;34;327;18;21;7;1
Goiás;0;925;0;0;6;3;4;1;315;11;6;14;9;0;115;199;578;5;106;6;12;6;1
Corinthians;0;990;0;0;4;1;2;0;548;18;17;9;8;2;347;444;782;36;381;14;17;8;1
Cuiabá;0;990;0;0;16;3;2;0;609;12;11;13;29;2;427;501;852;43;307;21;16;6;0
Coritiba;0;990;0;0;8;4;3;0;549;20;12;15;14;1;327;422;775;32;313;7;24;13;0
Bragantino;0;990;0;0;11;2;2;0;551;13;18;10;22;0;360;457;788;25;322;23;9;8;0
Atlético Goianiense;0;990;0;0;5;0;2;0;543;17;11;12;9;0;341;440;775;27;276;10;12;8;0
Athletico Paranaense;0;990;0;0;12;3;2;0;465;28;19;16;19;2;253;341;742;24;233;11;8;3;0
Cuiabá;0;974;0;0;6;3;1;1;383;14;11;10;8;1;167;249;671;25;149;13;11;3;0
América (MG);0;938;0;0;9;2;6;1;456;15;4;8;17;0;263;338;778;29;254;19;26;10;0
Fortaleza;0;939;0;0;10;3;2;1;436;21;12;6;16;2;236;333;709;30;209;5;17;12;0
Juventude;0;957;0;0;5;3;5;2;462;15;9;10;10;4;258;341;757;32;184;8;10;6;1
Santos;0;990;0;0;16;3;0;0;687;12;12;11;24;0;482;582;828;61;473;19;11;6;0
Coritiba;0;984;0;0;14;6;1;2;504;17;5;13;25;0;316;406;778;29;289;20;15;11;0
Goiás;0;990;0;0;3;0;3;0;454;18;10;8;4;0;268;366;732;25;203;10;12;9;0
Palmeiras;0;990;0;0;20;8;0;0;630;19;15;6;36;5;410;503;815;27;367;14;20;11;1
Fluminense;0;990;0;0;7;3;1;0;452;18;15;17;14;2;233;322;724;17;241;9;13;9;1
Avaí;0;990;1;2;7;2;6;0;621;16;11;13;15;2;412;512;805;35;343;13;15;5;0
Botafogo (RJ);0;990;0;0;18;3;3;0;685;19;6;10;30;0;450;563;799;59;385;23;23;11;0
Palmeiras;0;990;0;1;16;4;1;0;628;16;6;20;31;2;433;511;847;53;396;19;21;16;1
Athletico Paranaense;0;990;0;0;19;8;0;0;473;18;15;12;35;2;280;367;763;28;240;11;19;13;1
Flamengo;0;990;0;0;7;3;5;1;454;24;13;9;14;4;253;343;738;38;254;9;12;6;1
Avaí;0;984;0;0;5;1;2;1;480;16;18;16;9;1;260;349;745;22;284;13;22;11;0
Cuiabá;0;990;0;0;5;2;1;0;597;19;7;15;9;1;349;479;729;36;332;14;27;11;0
Corinthians;0;990;0;0;10;1;3;0;574;7;9;12;19;2;383;466;822;22;270;13;24;17;1
Fluminense;0;990;0;0;6;2;4;1;460;12;8;9;12;0;127;320;397;18;124;1;17;8;0
Fortaleza;0;990;0;0;12;5;4;0;439;15;7;10;20;2;234;325;72;27;251;11;19;10;1
Internacional;0;990;1;1;8;4;3;0;624;15;9;9;18;4;425;517;822;38;447;15;20;11;1
Goiás;0;990;0;0;11;4;2;0;461;23;11;11;21;4;224;323;693;24;179;7;28;20;1
