Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
São Paulo;1;990;0;0;16;4;1;0;525;9;3;7;28;6;323;435;743;31;301;14;10;6;1
Ceará;1;990;0;0;13;3;3;0;680;21;15;7;22;0;411;540;761;47;412;21;34;15;0
América (MG);1;990;0;0;16;5;1;0;510;13;15;11;28;2;259;385;673;39;248;30;33;21;1
Internacional;1;990;0;0;15;5;1;0;438;23;11;15;25;4;253;327;774;24;231;12;17;9;1
Atlético Mineiro;1;990;0;0;28;7;0;0;759;11;11;10;55;0;555;676;821;90;503;27;8;6;0
Fluminense;1;990;0;0;15;6;2;0;731;15;7;14;27;9;539;630;856;74;383;30;17;8;1
Fortaleza;1;990;0;0;13;4;1;0;455;20;20;9;21;2;223;315;708;28;232;10;15;8;1
Santos;1;990;0;0;13;5;4;0;415;14;14;11;20;2;220;297;741;37;205;14;12;4;1
Avaí;1;990;0;0;10;2;5;0;630;21;16;9;15;0;395;516;766;30;314;11;12;4;0
Goiás;1;979;0;0;15;6;2;1;357;14;8;8;26;3;173;248;698;20;154;21;10;7;1
Coritiba;1;990;0;0;12;3;4;0;532;24;6;11;18;2;316;405;78;34;328;15;19;7;1
São Paulo;1;990;0;0;15;8;2;0;802;23;9;8;24;0;563;675;834;51;469;18;28;10;0
Botafogo (RJ);1;990;0;0;14;4;3;0;590;20;18;16;22;0;360;461;781;45;397;17;29;14;0
Internacional;1;990;1;2;22;11;0;0;672;9;10;11;40;6;483;566;853;47;471;26;17;9;1
Corinthians;1;990;0;0;14;4;1;0;596;22;6;8;21;1;353;491;719;46;346;19;13;6;1
Athletico Paranaense;1;990;0;0;7;2;2;0;385;24;11;9;13;2;192;278;691;17;176;16;14;6;1
América (MG);1;990;0;0;25;10;2;0;607;7;13;16;44;4;387;475;815;55;319;26;17;7;1
Fortaleza;1;990;0;1;14;3;1;0;550;17;10;9;25;2;319;432;738;50;307;15;39;23;0
Atlético Goianiense;1;990;0;0;12;2;1;0;624;18;11;7;21;0;422;515;819;43;330;20;23;7;0
Santos;1;990;0;0;24;8;1;0;672;14;8;11;45;2;465;582;799;66;432;42;21;10;0
Ceará;1;990;0;0;8;4;4;0;481;24;7;10;14;2;286;383;747;25;189;12;19;12;1
Internacional;1;990;0;0;16;3;1;0;865;13;15;6;32;2;667;759;879;68;480;20;12;8;1
Fluminense;1;990;0;0;15;6;1;0;665;12;9;6;24;3;475;569;835;38;437;21;39;28;1
Palmeiras;1;990;0;0;24;9;0;0;675;16;10;9;44;3;462;567;815;77;392;26;21;6;1
Coritiba;1;990;0;0;13;5;6;0;482;20;5;11;24;4;268;375;715;25;203;17;17;7;1
Avaí;1;990;1;1;8;3;4;0;487;20;10;12;15;1;240;340;706;23;148;5;19;7;1
Botafogo (RJ);1;990;0;0;12;4;2;0;575;10;12;18;21;3;358;451;794;25;305;21;20;10;1
Flamengo;1;984;0;0;18;6;1;2;589;36;9;14;34;2;382;466;82;48;370;23;10;3;0
Ceará;1;932;0;0;8;1;6;2;462;8;11;16;12;0;273;361;756;22;282;10;16;7;0
América (MG);1;990;0;0;16;7;1;0;548;18;9;16;29;2;340;433;785;47;307;20;26;13;1
Palmeiras;1;959;0;0;19;3;3;1;612;17;7;11;34;2;385;490;786;50;339;15;16;8;1
Atlético Goianiense;1;990;0;0;19;4;3;0;544;10;9;9;31;2;364;458;795;52;379;21;15;4;0
São Paulo;1;990;0;0;17;6;2;0;712;10;10;6;31;8;542;622;871;54;458;22;9;4;1
Santos;1;990;0;0;11;4;3;0;509;14;11;7;21;2;298;402;741;32;234;16;34;16;1
Corinthians;1;990;0;0;19;8;0;0;758;9;11;7;32;2;566;664;852;56;429;22;16;9;1
Fluminense;1;990;0;0;21;6;1;0;790;5;13;12;38;7;634;707;897;59;540;10;9;6;1
Fortaleza;1;990;0;0;20;8;2;0;385;14;7;10;32;5;200;275;727;29;223;14;21;11;1
Coritiba;1;990;0;0;14;4;2;0;397;8;9;8;24;2;212;295;719;31;209;15;14;7;1
Cuiabá;1;990;0;0;11;3;2;0;451;17;19;10;21;4;241;343;703;27;215;12;10;3;1
Goiás;1;990;0;0;6;1;4;0;501;26;13;8;11;0;260;364;714;17;233;4;22;6;0
Atlético Mineiro;1;990;0;0;16;3;3;0;684;18;6;9;30;0;462;567;815;66;379;32;26;12;0
Internacional;1;990;0;0;9;3;1;0;614;28;16;9;15;2;406;490;829;36;312;14;14;7;1
Atlético Mineiro;1;990;1;1;13;4;2;0;398;29;17;13;21;3;213;280;761;24;219;22;19;7;1
Ceará;1;990;0;1;15;3;3;0;594;11;11;8;29;2;375;487;77;55;352;23;11;5;0
Goiás;1;990;0;0;12;3;3;0;618;15;11;18;18;0;373;481;775;36;363;20;24;8;0
Athletico Paranaense;1;990;0;0;17;6;3;0;475;14;11;5;32;4;305;387;788;47;248;11;11;5;1
Avaí;1;990;0;0;20;3;2;0;598;20;9;5;34;2;374;500;748;59;360;24;22;11;0
Flamengo;1;990;0;1;22;9;1;0;800;15;9;2;42;8;632;717;881;91;549;31;17;9;1
Corinthians;1;990;0;0;15;6;1;0;795;13;12;6;25;4;590;699;844;31;567;28;17;9;1
Botafogo (RJ);1;990;0;0;10;2;4;0;525;12;12;9;16;2;335;434;772;26;343;21;17;9;0
São Paulo;1;990;0;0;19;7;2;0;691;12;11;12;33;5;511;598;855;54;367;29;15;12;1
Athletico Paranaense;1;990;1;1;9;1;4;0;514;17;11;6;15;2;292;398;734;29;303;13;19;10;1
Fluminense;1;990;0;0;12;2;5;0;655;11;9;17;21;0;448;551;813;38;357;22;21;13;0
Palmeiras;1;990;0;0;20;7;1;0;481;14;9;14;31;6;291;375;776;26;259;14;19;11;1
Santos;1;990;0;0;18;7;2;0;500;20;9;15;27;4;258;350;737;23;259;19;20;19;1
Juventude;1;981;0;1;12;2;3;1;576;14;3;6;21;0;380;478;795;49;294;8;20;8;0
Avaí;1;925;1;1;13;3;5;1;409;18;5;15;24;5;201;288;698;28;167;15;22;14;1
Fortaleza;1;919;0;0;11;3;5;1;429;9;6;8;19;0;249;348;716;17;252;12;15;12;0
Bragantino;1;990;0;0;14;5;2;0;569;17;10;10;22;3;357;443;806;54;388;21;13;3;1
Atlético Goianiense;1;990;1;1;28;9;4;0;467;16;8;10;45;5;271;359;755;28;206;16;10;2;1
Santos;1;988;1;1;9;4;2;1;497;10;5;13;20;2;302;398;759;25;287;21;20;6;0
Palmeiras;1;990;0;0;19;11;1;0;664;18;11;10;36;8;480;559;859;74;398;19;21;9;1
América (MG);1;990;0;0;13;4;2;0;423;16;11;18;24;2;205;313;655;33;185;15;9;2;0
Avaí;1;990;1;1;5;1;2;0;573;13;10;5;11;1;384;489;785;39;400;13;20;10;0
Cuiabá;1;990;0;0;21;5;2;0;467;12;4;8;31;0;289;369;783;24;193;13;18;5;0
Corinthians;1;990;1;1;6;2;1;0;578;18;11;11;12;3;339;453;748;31;204;11;23;11;1
Internacional;1;990;0;0;20;11;1;0;606;10;11;10;29;5;421;500;842;34;334;20;11;5;1
Fortaleza;1;990;0;0;16;5;1;0;475;16;12;10;31;3;279;357;782;41;263;12;11;4;1
São Paulo;1;986;0;0;8;2;3;1;650;12;3;9;15;0;438;562;779;50;363;21;18;11;0
Fluminense;1;990;0;0;22;10;1;0;669;10;6;9;40;0;466;562;829;56;307;27;22;11;0
Coritiba;1;903;0;0;6;2;0;1;432;25;10;9;12;4;191;300;637;15;189;11;22;10;1
Santos;1;990;0;0;19;8;2;0;590;20;13;10;32;7;396;477;83;56;302;27;22;9;1
América (MG);1;990;1;1;18;6;1;0;638;10;13;10;32;2;415;528;786;59;422;21;19;7;0
Flamengo;1;990;0;0;7;4;4;0;527;28;10;5;13;2;294;381;772;22;295;14;24;11;1
Botafogo (RJ);1;990;0;0;12;3;3;0;661;18;19;16;20;0;431;525;821;46;380;20;31;11;0
